shipment_id,departure_timestamp,origin_port,destination_port,origin_region,destination_region,route_corridor,ocean_side,vessel_type,cargo_type,distance_nm,avg_speed_knots,baseline_eta_days,weather_delay_days,port_handling_days,geopolitical_event,geopolitical_delay_days,expected_delay_days,adjusted_eta_days,risk_score,freight_cost_index,baseline_arrival_timestamp,adjusted_arrival_timestamp,delay_class
SHP-0000001,2025-10-30 22:00:00,Shanghai,Houston,East Asia,North America,Pacific Crossing,Pacific Side,Bulk Carrier,Electronics,6716.7,13.3,20.97,0.54,0.89,None,0.0,1.42,22.39,0.269,1.028,2025-11-20 21:15:24.026740490,2025-11-22 07:25:06.079515185,on_time
SHP-0000002,2025-02-05 20:00:00,Singapore,Santos,Southeast Asia,South America,Cape Diversion,Indian-Atlantic Side,Tanker,Textiles,9809.7,17.7,23.15,0.33,0.65,None,0.0,0.99,24.13,0.232,1.02,2025-02-28 23:31:36.271944048,2025-03-01 23:11:25.236060987,on_time
SHP-0000003,2025-08-13 14:00:00,Shanghai,Los Angeles,East Asia,North America,Pacific Crossing,Pacific Side,Container,Auto Parts,5758.5,21.7,11.07,0.74,1.47,Customs Slowdown,0.53,2.73,13.8,0.417,1.078,2025-08-24 15:38:03.028058946,2025-08-27 09:15:54.984031888,delayed
SHP-0000004,2025-08-05 07:00:00,Sydney,Shanghai,Oceania,East Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Chemicals,4851.4,14.5,13.97,0.0,1.72,None,0.0,1.72,15.69,0.293,1.034,2025-08-19 06:20:09.168756973,2025-08-20 23:32:00.118745810,delayed
SHP-0000005,2025-08-27 22:00:00,Houston,Sydney,North America,Oceania,Cape Diversion,Indian-Atlantic Side,Container,Food,8506.0,16.6,21.36,0.0,1.29,None,0.0,1.29,22.64,0.257,1.026,2025-09-18 06:32:50.372501524,2025-09-19 13:26:36.684039105,on_time
SHP-0000006,2025-09-19 01:00:00,Rotterdam,Dubai,Europe,Middle East,Suez Corridor,Indian-Atlantic Side,Bulk Carrier,Machinery,2961.4,14.0,8.79,1.19,0.61,Customs Slowdown,0.92,2.73,11.52,0.447,1.095,2025-09-27 19:57:25.794086097,2025-09-30 13:32:27.054349071,delayed
SHP-0000007,2025-01-20 10:00:00,Houston,Santos,North America,South America,Panama Corridor,Atlantic-Pacific Side,Bulk Carrier,Textiles,4717.5,13.4,14.62,0.17,1.72,None,0.0,1.89,16.51,0.308,1.038,2025-02-04 00:59:36.423772203,2025-02-05 22:21:14.092409805,delayed
SHP-0000008,2025-07-04 10:00:00,Houston,Singapore,North America,Southeast Asia,Pacific Crossing,Pacific Side,Tanker,Auto Parts,8812.3,16.7,22.04,0.0,0.72,Hormuz Tension,1.54,2.26,24.3,0.444,1.115,2025-07-26 10:57:12.022437568,2025-07-28 17:05:21.320431892,delayed
SHP-0000009,2025-08-21 10:00:00,Santos,Singapore,South America,Southeast Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Textiles,9809.7,15.2,26.94,0.93,0.81,None,0.0,1.74,28.68,0.295,1.035,2025-09-17 08:27:52.542914330,2025-09-19 02:17:01.752299350,delayed
SHP-0000010,2025-12-13 18:00:00,Singapore,Mumbai,Southeast Asia,South Asia,Cape Diversion,Indian-Atlantic Side,Tanker,Auto Parts,2403.0,13.8,7.27,0.43,1.58,Strait of Malacca Tension,1.85,3.85,11.12,0.583,1.155,2025-12-21 00:22:40.353829034,2025-12-24 20:52:53.860158900,delayed
SHP-0000011,2025-03-12 05:00:00,Sydney,Shanghai,Oceania,East Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Textiles,4851.4,14.1,14.3,2.39,0.66,None,0.0,3.05,17.35,0.404,1.061,2025-03-26 12:07:52.249900272,2025-03-29 13:21:38.833382381,delayed
SHP-0000012,2025-02-02 01:00:00,Singapore,Santos,Southeast Asia,South America,Cape Diversion,Indian-Atlantic Side,Container,Auto Parts,9809.7,22.0,18.58,1.16,0.64,None,0.0,1.8,20.39,0.3,1.036,2025-02-20 15:00:52.903556971,2025-02-22 10:16:52.722770157,delayed
SHP-0000013,2025-10-17 13:00:00,Houston,Los Angeles,North America,North America,Cape Diversion,Indian-Atlantic Side,Container,Auto Parts,1357.5,17.8,3.18,0.59,1.23,None,0.0,1.83,5.01,0.302,1.037,2025-10-20 17:23:07.896302652,2025-10-22 13:15:34.289344365,delayed
SHP-0000014,2025-04-12 09:00:00,Durban,Mumbai,Africa,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Food,4339.4,21.6,8.38,1.04,1.16,None,0.0,2.2,10.58,0.333,1.044,2025-04-20 18:11:33.561467537,2025-04-22 23:01:12.790329375,delayed
SHP-0000015,2025-08-10 07:00:00,Santos,Mumbai,South America,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Textiles,8463.8,16.6,21.2,0.09,1.71,Port Strike,1.6,3.4,24.59,0.545,1.136,2025-08-31 11:46:20.681228671,2025-09-03 21:15:55.616671094,delayed
SHP-0000016,2025-07-30 11:00:00,Dubai,Mumbai,Middle East,South Asia,Cape Diversion,Indian-Atlantic Side,Tanker,Textiles,1191.1,13.7,3.63,0.22,1.25,None,0.0,1.47,5.1,0.272,1.029,2025-08-03 02:00:32.476974252,2025-08-04 13:17:20.183980776,on_time
SHP-0000017,2025-09-25 12:00:00,Singapore,Rotterdam,Southeast Asia,Europe,Suez Corridor,Indian-Atlantic Side,Container,Chemicals,6139.1,22.1,11.55,0.2,1.29,None,0.0,1.48,13.04,0.274,1.03,2025-10-07 01:16:28.955694501,2025-10-08 12:52:35.265685252,on_time
SHP-0000018,2025-02-19 08:00:00,Rotterdam,Dubai,Europe,Middle East,Suez Corridor,Indian-Atlantic Side,Tanker,Machinery,2961.4,15.3,8.05,0.58,1.42,Strait of Malacca Tension,1.88,3.88,11.93,0.587,1.157,2025-02-27 09:16:04.515586403,2025-03-03 06:17:54.315590487,delayed
SHP-0000019,2025-07-09 19:00:00,Shanghai,Mumbai,East Asia,South Asia,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Electronics,3097.7,12.7,10.13,0.0,0.56,None,0.0,0.56,10.7,0.197,1.011,2025-07-19 22:10:47.555007720,2025-07-20 11:41:27.337452480,on_time
SHP-0000020,2025-05-22 01:00:00,Shanghai,Durban,East Asia,Africa,Cape Diversion,Indian-Atlantic Side,Tanker,Auto Parts,7207.8,12.4,24.21,1.04,0.55,None,0.0,1.59,25.79,0.282,1.032,2025-06-15 05:55:17.966326658,2025-06-16 20:01:01.243479426,delayed
SHP-0000021,2025-09-24 12:00:00,Mumbai,Durban,South Asia,Africa,Cape Diversion,Indian-Atlantic Side,Tanker,Food,4339.4,15.6,11.58,0.79,1.04,None,0.0,1.82,13.4,0.302,1.036,2025-10-06 01:56:40.222380526,2025-10-07 21:41:30.362215001,delayed
SHP-0000022,2025-12-28 02:00:00,Singapore,Houston,Southeast Asia,North America,Pacific Crossing,Pacific Side,Container,Machinery,8812.3,17.5,20.97,0.41,1.02,Hormuz Tension,1.41,2.84,23.81,0.483,1.122,2026-01-18 01:16:28.425428880,2026-01-20 21:19:50.166601991,delayed
SHP-0000023,2025-04-17 14:00:00,Houston,Rotterdam,North America,Europe,Atlantic Crossing,Atlantic Side,Container,Textiles,4358.4,22.4,8.11,0.0,0.88,Suez Disruption,3.68,4.56,12.67,0.75,1.252,2025-04-25 16:39:49.190607576,2025-04-30 06:00:06.667512073,critical_delay
SHP-0000024,2025-11-24 01:00:00,Sydney,Mumbai,Oceania,South Asia,Cape Diversion,Indian-Atlantic Side,Container,Chemicals,6252.0,21.4,12.17,0.65,1.09,Port Strike,0.98,2.72,14.89,0.445,1.096,2025-12-06 05:03:57.054334893,2025-12-08 22:24:09.150008247,delayed
SHP-0000025,2025-03-27 07:00:00,Los Angeles,Dubai,North America,Middle East,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Machinery,8263.9,11.0,31.24,1.28,0.78,Strait of Malacca Tension,2.44,4.5,35.74,0.673,1.194,2025-04-27 12:46:27.024036196,2025-05-02 00:39:53.254315013,critical_delay
SHP-0000026,2025-04-25 11:00:00,Dubai,Durban,Middle East,Africa,Cape Diversion,Indian-Atlantic Side,Bulk Carrier,Machinery,4091.2,13.1,12.97,0.75,1.46,None,0.0,2.21,15.18,0.335,1.044,2025-05-08 10:15:11.573198144,2025-05-10 15:24:47.424031732,delayed
